mirna_name,P-value,FDR,Bonferroni,A,B,observed_ratio,C,D,expected_ratio,foldchange_enrichment
hsa-miR-16-5p,1.0,1.0,1.0,0,1,0.0,9811,26380,0.3719105382865807,0.0
hsa-miR-17-3p,1.0,1.0,1.0,0,1,0.0,2916,26380,0.11053828658074298,0.0
hsa-miR-17-5p,1.0,1.0,1.0,0,1,0.0,10048,26380,0.3808946171341926,0.0
hsa-miR-181a-2-3p,1.0,1.0,1.0,0,1,0.0,1696,26380,0.06429112964366945,0.0
hsa-miR-181a-3p,1.0,1.0,1.0,0,1,0.0,929,26380,0.035216072782410915,0.0
hsa-miR-181a-5p,1.0,1.0,1.0,0,1,0.0,7001,26380,0.2653904473085671,0.0
hsa-miR-181b-2-3p,1.0,1.0,1.0,0,1,0.0,91,26380,0.0034495830174374525,0.0
hsa-miR-181b-3p,1.0,1.0,1.0,0,1,0.0,857,26380,0.032486732373009856,0.0
hsa-miR-181b-5p,1.0,1.0,1.0,0,1,0.0,7267,26380,0.2754738438210766,0.0
hsa-miR-181c-3p,1.0,1.0,1.0,0,1,0.0,529,26380,0.020053070507960576,0.0
hsa-miR-181c-5p,1.0,1.0,1.0,0,1,0.0,2587,26380,0.09806671721000758,0.0
hsa-miR-181d-5p,1.0,1.0,1.0,0,1,0.0,5338,26380,0.2023502653525398,0.0
hsa-miR-182-3p,1.0,1.0,1.0,0,1,0.0,2040,26380,0.07733131159969674,0.0
hsa-miR-182-5p,1.0,1.0,1.0,0,1,0.0,7988,26380,0.3028051554207733,0.0
hsa-miR-1827,1.0,1.0,1.0,0,1,0.0,119,26380,0.004510993176648976,0.0
hsa-miR-183-3p,1.0,1.0,1.0,0,1,0.0,2010,26380,0.07619408642911296,0.0
hsa-miR-183-5p,1.0,1.0,1.0,0,1,0.0,7009,26380,0.2656937073540561,0.0
hsa-miR-184,1.0,1.0,1.0,0,1,0.0,379,26380,0.014366944655041698,0.0
hsa-miR-1843,1.0,1.0,1.0,0,1,0.0,1786,26380,0.06770280515542078,0.0
hsa-miR-185-3p,1.0,1.0,1.0,0,1,0.0,894,26380,0.03388931008339651,0.0
hsa-miR-185-5p,1.0,1.0,1.0,0,1,0.0,4254,26380,0.16125852918877936,0.0
hsa-miR-186-3p,1.0,1.0,1.0,0,1,0.0,203,26380,0.0076952236542835485,0.0
hsa-miR-186-5p,1.0,1.0,1.0,0,1,0.0,3158,26380,0.11971190295678544,0.0
hsa-miR-187-3p,1.0,1.0,1.0,0,1,0.0,561,26380,0.021266110689916604,0.0
hsa-miR-187-5p,1.0,1.0,1.0,0,1,0.0,92,26380,0.0034874905231235785,0.0
hsa-miR-188-3p,1.0,1.0,1.0,0,1,0.0,6,26380,0.0002274450341167551,0.0
hsa-miR-188-5p,1.0,1.0,1.0,0,1,0.0,730,26380,0.027672479150871874,0.0
hsa-miR-18a-3p,1.0,1.0,1.0,0,1,0.0,970,26380,0.03677028051554208,0.0
hsa-miR-18a-5p,1.0,1.0,1.0,0,1,0.0,9556,26380,0.3622441243366187,0.0
hsa-miR-18b-3p,1.0,1.0,1.0,0,1,0.0,28,26380,0.0010614101592115238,0.0
hsa-miR-18b-5p,1.0,1.0,1.0,0,1,0.0,7587,26380,0.28760424564063686,0.0
hsa-miR-1908-5p,1.0,1.0,1.0,0,1,0.0,34,26380,0.001288855193328279,0.0
hsa-miR-1909-3p,1.0,1.0,1.0,0,1,0.0,1,26380,3.7907505686125855e-05,0.0
hsa-miR-1909-5p,1.0,1.0,1.0,0,1,0.0,1,26380,3.7907505686125855e-05,0.0
hsa-miR-190a-3p,1.0,1.0,1.0,0,1,0.0,14,26380,0.0005307050796057619,0.0
hsa-miR-190a-5p,1.0,1.0,1.0,0,1,0.0,455,26380,0.017247915087187263,0.0
hsa-miR-190b-3p,1.0,1.0,1.0,0,1,0.0,3,26380,0.00011372251705837755,0.0
hsa-miR-190b-5p,1.0,1.0,1.0,0,1,0.0,277,26380,0.01050037907505686,0.0
hsa-miR-191-3p,1.0,1.0,1.0,0,1,0.0,372,26380,0.014101592115238818,0.0
hsa-miR-191-5p,1.0,1.0,1.0,0,1,0.0,7498,26380,0.28423047763457165,0.0
hsa-miR-1910-3p,1.0,1.0,1.0,0,1,0.0,2,26380,7.581501137225171e-05,0.0
hsa-miR-1910-5p,1.0,1.0,1.0,0,1,0.0,1293,26380,0.04901440485216073,0.0
hsa-miR-1911-5p,1.0,1.0,1.0,0,1,0.0,334,26380,0.012661106899166035,0.0
hsa-miR-1912-3p,1.0,1.0,1.0,0,1,0.0,385,26380,0.014594389689158454,0.0
hsa-miR-1912-5p,1.0,1.0,1.0,0,1,0.0,185,26380,0.007012888551933283,0.0
hsa-miR-1914-3p,1.0,1.0,1.0,0,1,0.0,63,26380,0.0023881728582259287,0.0
hsa-miR-1914-5p,1.0,1.0,1.0,0,1,0.0,28,26380,0.0010614101592115238,0.0
hsa-miR-1915-5p,1.0,1.0,1.0,0,1,0.0,1,26380,3.7907505686125855e-05,0.0
hsa-miR-192-3p,1.0,1.0,1.0,0,1,0.0,440,26380,0.016679302501895376,0.0
